imdb_title_id,weighted_average_vote,total_votes,mean_vote,median_vote
tt0008891,7.0,782,6.7,7.0
tt0008930,6.0,116,6.0,6.0
tt0009086,5.4,281,6.2,7.0
tt0009150,6.4,906,6.8,7.0
tt0009241,5.1,594,6.5,7.0
tt0009326,6.5,119,6.5,7.0
tt0009356,5.2,616,6.5,7.0
tt0009369,5.9,1061,7.1,8.0
tt0009440,6.4,178,6.4,6.0
tt0009475,4.4,484,6.4,7.0
tt0009559,6.1,341,6.7,7.0
tt0009608,5.1,697,7.3,8.0
tt0009611,7.3,5895,6.7,7.0
tt0009737,5.9,109,6.0,6.0
tt0009796,6.8,262,6.5,7.0
tt0009878,7.0,1122,6.8,7.0
tt0009915,7.1,165,7.0,7.0
tt0009937,7.0,1325,6.6,7.0
tt0009976,5.7,631,6.7,7.0
tt0010040,6.5,1306,7.3,8.0
tt0010060,5.9,814,6.6,7.0
tt0010103,5.3,646,6.5,7.0
tt0010137,5.4,697,7.5,8.0
tt0010162,6.5,203,8.2,10.0
tt0010193,5.8,671,6.5,7.0
tt0010195,6.8,254,7.0,7.0
tt0010219,3.9,368,6.5,7.0
tt0010227,5.6,510,6.5,7.0
tt0010267,6.7,929,6.8,7.0
tt0010418,7.0,1712,7.8,8.0
tt0010466,6.6,145,5.8,6.0
tt0010635,5.2,594,6.6,7.0
tt0010662,4.9,420,6.5,7.0
tt0010680,6.3,237,5.8,6.0
tt0010806,7.0,1599,7.2,7.0
tt0010844,6.6,331,6.4,7.0
tt0010879,6.9,775,7.0,7.0
tt0010890,6.4,337,6.2,7.0
tt0010925,5.5,722,6.4,7.0
tt0010964,6.4,129,8.4,10.0
tt0011130,7.0,4753,7.1,7.0
tt0011193,6.6,291,6.9,7.0
tt0011267,5.1,260,5.4,5.0
tt0011344,6.2,105,6.7,7.0
tt0011358,6.6,332,6.5,7.0
tt0011387,6.7,1102,6.9,7.0
tt0011415,5.9,105,6.2,6.0
tt0011474,6.5,129,6.4,7.0
tt0011588,6.4,355,6.7,7.0
tt0011623,6.1,149,8.4,10.0
tt0011647,5.7,123,6.1,6.0
tt0011741,6.3,210,6.7,7.0
tt0011753,5.5,168,5.8,6.0
tt0011779,6.5,191,6.7,7.0
tt0011865,6.7,1321,7.9,8.0
tt0011908,6.0,101,6.3,6.0
tt0011948,6.9,364,6.9,7.0
tt0011979,6.8,497,6.8,7.0
tt0012016,6.4,170,8.2,10.0
tt0012027,6.6,875,6.7,7.0
tt0012125,6.4,116,7.2,7.0
tt0012136,6.4,268,7.9,9.0
tt0012349,8.3,109038,8.2,8.0
tt0012382,6.1,268,6.3,6.0
tt0012397,6.7,276,7.0,7.0
tt0012408,6.5,338,6.8,7.0
tt0012486,6.2,237,6.2,6.0
tt0012513,6.5,209,6.6,7.0
tt0012532,7.4,4678,7.8,8.0
tt0012538,6.5,469,6.7,7.0
tt0012642,6.9,941,7.0,7.0
tt0012675,6.4,3055,7.2,7.0
tt0012752,6.9,846,7.0,7.0
tt0012755,6.8,163,7.0,7.0
tt0012769,5.9,133,6.0,6.0
tt0012928,6.1,766,7.9,9.0
tt0012975,6.2,255,7.6,8.0
tt0013075,7.1,1194,7.2,7.0
tt0013140,7.0,3072,7.1,7.0
tt0013201,7.0,1618,7.1,7.0
tt0013223,4.9,225,5.0,5.0
tt0013367,5.4,226,5.7,6.0
tt0013386,6.6,293,6.8,7.0
tt0013450,6.7,706,6.9,7.0
tt0013556,7.2,1971,7.4,7.0
